"FAO","year","TOTAL","C"
41,1977,25,655
41,1978,25,39
41,1979,25,64
41,1980,25,388
41,1981,25,409
41,1982,25,54
41,1983,25,152
41,1984,25,70
41,1985,25,195
41,1986,25,157
41,1987,25,532
41,1988,25,936
41,1989,25,1550
41,1990,25,2380
41,1991,25,2234
41,1992,25,1321
41,1993,25,5002
41,1994,25,12719
41,1995,25,19442
41,1996,25,15079
41,1997,25,9635
41,1998,25,13359
41,1999,25,11340
41,2000,25,11128
41,2001,25,13823
41,2002,25,12488
41,2003,25,8871
41,2004,25,6671
41,2005,25,4917
41,2006,25,5899
41,2007,25,7571
41,2008,25,5460
41,2009,25,5396
41,2010,25,5988
41,2011,25,7519
41,2012,25,5210
47,1977,6,0
47,1978,6,0
47,1979,6,0
47,1980,6,0
47,1981,6,0
47,1982,6,0
47,1983,6,0
47,1984,6,0
47,1985,6,0
47,1986,6,0
47,1987,6,0
47,1988,6,0
47,1989,6,0
47,1990,6,0
47,1991,6,0
47,1992,6,0
47,1993,6,0
47,1994,6,0
47,1995,6,0
47,1996,6,0
47,1997,6,0
47,1998,6,0
47,1999,6,0
47,2000,6,320
47,2001,6,5
47,2002,6,924
47,2003,6,2438
47,2004,6,728
47,2005,6,168
47,2006,6,172
47,2007,6,192
47,2008,6,198
47,2009,6,151
47,2010,6,82
47,2011,6,218
47,2012,6,125
48,1977,16,502
48,1978,16,2146
48,1979,16,363
48,1980,16,106
48,1981,16,258
48,1982,16,354
48,1983,16,218
48,1984,16,268
48,1985,16,530
48,1986,16,733
48,1987,16,1953
48,1988,16,876
48,1989,16,7060
48,1990,16,6785
48,1991,16,1756
48,1992,16,3839
48,1993,16,3030
48,1994,16,658
48,1995,16,3372
48,1996,16,3602
48,1997,16,3812
48,1998,16,3201
48,1999,16,3626
48,2000,16,4939
48,2001,16,4048
48,2002,16,5744
48,2003,16,7528
48,2004,16,4504
48,2005,16,3111
48,2006,16,3654
48,2007,16,3672
48,2008,16,3974
48,2009,16,3473
48,2010,16,2625
48,2011,16,1832
48,2012,16,1868
51,1977,3,0
51,1978,3,0
51,1979,3,0
51,1980,3,0
51,1981,3,0
51,1982,3,0
51,1983,3,0
51,1984,3,0
51,1985,3,0
51,1986,3,0
51,1987,3,0
51,1988,3,0
51,1989,3,0
51,1990,3,0
51,1991,3,0
51,1992,3,0
51,1993,3,0
51,1994,3,0
51,1995,3,0
51,1996,3,0
51,1997,3,0
51,1998,3,0
51,1999,3,0
51,2000,3,1628
51,2001,3,7124
51,2002,3,4798
51,2003,3,1112
51,2004,3,86
51,2005,3,420
51,2006,3,0
51,2007,3,31
51,2008,3,101
51,2009,3,70
51,2010,3,136
51,2011,3,165
51,2012,3,163
57,1977,3,0
57,1978,3,0
57,1979,3,0
57,1980,3,0
57,1981,3,0
57,1982,3,0
57,1983,3,0
57,1984,3,0
57,1985,3,0
57,1986,3,0
57,1987,3,0
57,1988,3,0
57,1989,3,0
57,1990,3,0
57,1991,3,0
57,1992,3,0
57,1993,3,0
57,1994,3,0
57,1995,3,0
57,1996,3,0
57,1997,3,0
57,1998,3,0
57,1999,3,0
57,2000,3,0
57,2001,3,450
57,2002,3,2683
57,2003,3,1183
57,2004,3,13
57,2005,3,0
57,2006,3,0
57,2007,3,0
57,2008,3,0
57,2009,3,0
57,2010,3,0
57,2011,3,0
57,2012,3,0
58,1977,13,21
58,1978,13,633
58,1979,13,32
58,1980,13,142
58,1981,13,123
58,1982,13,138
58,1983,13,164
58,1984,13,4738
58,1985,13,2455
58,1986,13,2472
58,1987,13,1819
58,1988,13,917
58,1989,13,1348
58,1990,13,1250
58,1991,13,3037
58,1992,13,7758
58,1993,13,3597
58,1994,13,5437
58,1995,13,5711
58,1996,13,5656
58,1997,13,8646
58,1998,13,10168
58,1999,13,9730
58,2000,13,11972
58,2001,13,9098
58,2002,13,8233
58,2003,13,8925
58,2004,13,8776
58,2005,13,8697
58,2006,13,8741
58,2007,13,8345
58,2008,13,8205
58,2009,13,8676
58,2010,13,8486
58,2011,13,8668
58,2012,13,8612
81,1977,2,0
81,1978,2,0
81,1979,2,0
81,1980,2,0
81,1981,2,0
81,1982,2,0
81,1983,2,0
81,1984,2,0
81,1985,2,0
81,1986,2,0
81,1987,2,0
81,1988,2,0
81,1989,2,0
81,1990,2,0
81,1991,2,0
81,1992,2,0
81,1993,2,0
81,1994,2,0
81,1995,2,0
81,1996,2,1061
81,1997,2,5
81,1998,2,43
81,1999,2,1
81,2000,2,0
81,2001,2,14
81,2002,2,0
81,2003,2,0
81,2004,2,3
81,2005,2,0
81,2006,2,0
81,2007,2,90
81,2008,2,308
81,2009,2,746
81,2010,2,497
81,2011,2,235
81,2012,2,386
87,1977,2,0
87,1978,2,37
87,1979,2,120
87,1980,2,414
87,1981,2,335
87,1982,2,607
87,1983,2,1464
87,1984,2,2480
87,1985,2,5032
87,1986,2,6985
87,1987,2,4337
87,1988,2,4300
87,1989,2,6889
87,1990,2,9387
87,1991,2,10969
87,1992,2,26918
87,1993,2,20997
87,1994,2,20902
87,1995,2,15694
87,1996,2,8959
87,1997,2,8077
87,1998,2,9183
87,1999,2,11193
87,2000,2,10951
87,2001,2,6532
87,2002,2,6787
87,2003,2,5376
87,2004,2,4864
87,2005,2,5251
87,2006,2,4469
87,2007,2,4383
87,2008,2,4752
87,2009,2,4851
87,2010,2,4946
87,2011,2,4214
87,2012,2,4209
88,1977,11,0
88,1978,11,0
88,1979,11,0
88,1980,11,0
88,1981,11,0
88,1982,11,0
88,1983,11,0
88,1984,11,0
88,1985,11,0
88,1986,11,0
88,1987,11,0
88,1988,11,0
88,1989,11,0
88,1990,11,0
88,1991,11,0
88,1992,11,0
88,1993,11,0
88,1994,11,0
88,1995,11,0
88,1996,11,0
88,1997,11,0
88,1998,11,1
88,1999,11,1
88,2000,11,0
88,2001,11,34
88,2002,11,12
88,2003,11,26
88,2004,11,12
88,2005,11,7
88,2006,11,1
88,2007,11,12
88,2008,11,8
88,2009,11,16
88,2010,11,0
88,2011,11,2
88,2012,11,6
